Modality,FN,Count
lpd_unet_0_1,2.00,366
lpd_unet_0_1,117.16,156
lpd_unet_0_1,232.32,56
lpd_unet_0_1,347.48,39
lpd_unet_0_1,462.65,25
lpd_unet_0_1,577.81,19
lpd_unet_0_1,692.97,12
lpd_unet_0_1,808.13,6
lpd_unet_0_1,923.29,4
lpd_unet_0_1,1038.45,3
lpd_unet_0_2,2.00,376
lpd_unet_0_2,117.16,122
lpd_unet_0_2,232.32,66
lpd_unet_0_2,347.48,34
lpd_unet_0_2,462.65,36
lpd_unet_0_2,577.81,18
lpd_unet_0_2,692.97,21
lpd_unet_0_2,808.13,7
lpd_unet_0_2,923.29,3
lpd_unet_0_2,1038.45,2
lpd_unet_0_3,2.00,367
lpd_unet_0_3,117.16,151
lpd_unet_0_3,232.32,48
lpd_unet_0_3,347.48,39
lpd_unet_0_3,462.65,38
lpd_unet_0_3,577.81,22
lpd_unet_0_3,692.97,8
lpd_unet_0_3,808.13,6
lpd_unet_0_3,923.29,4
lpd_unet_0_3,1038.45,2
lpd_unet_0_4,2.00,374
lpd_unet_0_4,117.16,136
lpd_unet_0_4,232.32,68
lpd_unet_0_4,347.48,35
lpd_unet_0_4,462.65,35
lpd_unet_0_4,577.81,10
lpd_unet_0_4,692.97,13
lpd_unet_0_4,808.13,8
lpd_unet_0_4,923.29,4
lpd_unet_0_4,1038.45,2
lpd_unet_0_5,2.00,377
lpd_unet_0_5,117.16,137
lpd_unet_0_5,232.32,63
lpd_unet_0_5,347.48,36
lpd_unet_0_5,462.65,34
lpd_unet_0_5,577.81,17
lpd_unet_0_5,692.97,11
lpd_unet_0_5,808.13,3
lpd_unet_0_5,923.29,5
lpd_unet_0_5,1038.45,2
lpd_unet_0_6,2.00,369
lpd_unet_0_6,117.16,139
lpd_unet_0_6,232.32,66
lpd_unet_0_6,347.48,49
lpd_unet_0_6,462.65,24
lpd_unet_0_6,577.81,17
lpd_unet_0_6,692.97,11
lpd_unet_0_6,808.13,4
lpd_unet_0_6,923.29,4
lpd_unet_0_6,1038.45,3
lpd_unet_0_7,2.00,378
lpd_unet_0_7,117.16,129
lpd_unet_0_7,232.32,63
lpd_unet_0_7,347.48,37
lpd_unet_0_7,462.65,36
lpd_unet_0_7,577.81,18
lpd_unet_0_7,692.97,12
lpd_unet_0_7,808.13,6
lpd_unet_0_7,923.29,4
lpd_unet_0_7,1038.45,3
lpd_unet_0_8,2.00,391
lpd_unet_0_8,117.16,144
lpd_unet_0_8,232.32,55
lpd_unet_0_8,347.48,35
lpd_unet_0_8,462.65,28
lpd_unet_0_8,577.81,13
lpd_unet_0_8,692.97,8
lpd_unet_0_8,808.13,8
lpd_unet_0_8,923.29,4
lpd_unet_0_8,1038.45,0
lpd_unet_0_9,2.00,385
lpd_unet_0_9,117.16,136
lpd_unet_0_9,232.32,54
lpd_unet_0_9,347.48,35
lpd_unet_0_9,462.65,36
lpd_unet_0_9,577.81,20
lpd_unet_0_9,692.97,9
lpd_unet_0_9,808.13,6
lpd_unet_0_9,923.29,3
lpd_unet_0_9,1038.45,2
lpd_unet_1,2.00,416
lpd_unet_1,117.16,115
lpd_unet_1,232.32,51
lpd_unet_1,347.48,34
lpd_unet_1,462.65,38
lpd_unet_1,577.81,13
lpd_unet_1,692.97,9
lpd_unet_1,808.13,5
lpd_unet_1,923.29,4
lpd_unet_1,1038.45,1
lpd_unet_sequential,2.00,358
lpd_unet_sequential,117.16,146
lpd_unet_sequential,232.32,63
lpd_unet_sequential,347.48,42
lpd_unet_sequential,462.65,27
lpd_unet_sequential,577.81,19
lpd_unet_sequential,692.97,14
lpd_unet_sequential,808.13,10
lpd_unet_sequential,923.29,3
lpd_unet_sequential,1038.45,2
