Modality,TP,Count
lpd_unet_0_1,0.00,549
lpd_unet_0_1,65.92,53
lpd_unet_0_1,131.84,42
lpd_unet_0_1,197.76,22
lpd_unet_0_1,263.68,11
lpd_unet_0_1,329.61,1
lpd_unet_0_1,395.53,3
lpd_unet_0_1,461.45,2
lpd_unet_0_1,527.37,2
lpd_unet_0_1,593.29,1
lpd_unet_0_2,0.00,573
lpd_unet_0_2,65.92,51
lpd_unet_0_2,131.84,28
lpd_unet_0_2,197.76,17
lpd_unet_0_2,263.68,6
lpd_unet_0_2,329.61,5
lpd_unet_0_2,395.53,3
lpd_unet_0_2,461.45,0
lpd_unet_0_2,527.37,1
lpd_unet_0_2,593.29,2
lpd_unet_0_3,0.00,567
lpd_unet_0_3,65.92,42
lpd_unet_0_3,131.84,41
lpd_unet_0_3,197.76,19
lpd_unet_0_3,263.68,6
lpd_unet_0_3,329.61,7
lpd_unet_0_3,395.53,0
lpd_unet_0_3,461.45,2
lpd_unet_0_3,527.37,1
lpd_unet_0_3,593.29,1
lpd_unet_0_4,0.00,556
lpd_unet_0_4,65.92,55
lpd_unet_0_4,131.84,39
lpd_unet_0_4,197.76,17
lpd_unet_0_4,263.68,7
lpd_unet_0_4,329.61,4
lpd_unet_0_4,395.53,2
lpd_unet_0_4,461.45,5
lpd_unet_0_4,527.37,1
lpd_unet_0_4,593.29,0
lpd_unet_0_5,0.00,530
lpd_unet_0_5,65.92,67
lpd_unet_0_5,131.84,38
lpd_unet_0_5,197.76,27
lpd_unet_0_5,263.68,10
lpd_unet_0_5,329.61,5
lpd_unet_0_5,395.53,1
lpd_unet_0_5,461.45,4
lpd_unet_0_5,527.37,1
lpd_unet_0_5,593.29,3
lpd_unet_0_6,0.00,532
lpd_unet_0_6,65.92,65
lpd_unet_0_6,131.84,42
lpd_unet_0_6,197.76,28
lpd_unet_0_6,263.68,5
lpd_unet_0_6,329.61,8
lpd_unet_0_6,395.53,3
lpd_unet_0_6,461.45,2
lpd_unet_0_6,527.37,0
lpd_unet_0_6,593.29,1
lpd_unet_0_7,0.00,554
lpd_unet_0_7,65.92,50
lpd_unet_0_7,131.84,39
lpd_unet_0_7,197.76,26
lpd_unet_0_7,263.68,9
lpd_unet_0_7,329.61,2
lpd_unet_0_7,395.53,3
lpd_unet_0_7,461.45,1
lpd_unet_0_7,527.37,1
lpd_unet_0_7,593.29,1
lpd_unet_0_8,0.00,513
lpd_unet_0_8,65.92,64
lpd_unet_0_8,131.84,50
lpd_unet_0_8,197.76,25
lpd_unet_0_8,263.68,14
lpd_unet_0_8,329.61,6
lpd_unet_0_8,395.53,4
lpd_unet_0_8,461.45,3
lpd_unet_0_8,527.37,4
lpd_unet_0_8,593.29,3
lpd_unet_0_9,0.00,534
lpd_unet_0_9,65.92,62
lpd_unet_0_9,131.84,35
lpd_unet_0_9,197.76,28
lpd_unet_0_9,263.68,15
lpd_unet_0_9,329.61,5
lpd_unet_0_9,395.53,2
lpd_unet_0_9,461.45,4
lpd_unet_0_9,527.37,1
lpd_unet_0_9,593.29,0
lpd_unet_1,0.00,516
lpd_unet_1,65.92,46
lpd_unet_1,131.84,49
lpd_unet_1,197.76,27
lpd_unet_1,263.68,21
lpd_unet_1,329.61,17
lpd_unet_1,395.53,5
lpd_unet_1,461.45,3
lpd_unet_1,527.37,1
lpd_unet_1,593.29,1
lpd_unet_sequential,0.00,586
lpd_unet_sequential,65.92,45
lpd_unet_sequential,131.84,21
lpd_unet_sequential,197.76,16
lpd_unet_sequential,263.68,9
lpd_unet_sequential,329.61,5
lpd_unet_sequential,395.53,1
lpd_unet_sequential,461.45,2
lpd_unet_sequential,527.37,1
lpd_unet_sequential,593.29,0
